Start Date,Class,Hedge Type,Number Of Hours,Bid MW,Bid Price,Bid MWHs,Bid MWHs Bid Price,Awarded Mw,Clearing Price,Awarded MWHs,Awarded MWHs Clearing Price,Weighted Avg Clear Price,Weighted Avg Bid Price,Auction,Market ID
03/01/2024,BUY,OBL,23184757,327055.1,-470.7,80623472.7,8445774.38,88713.9,212217.53,22024595.7,16043788.14,0.73,0.1,2024.MAR.Monthly.Auction,7651
04/01/2024,SELL,OBL,1987824,19886.0,14238.28,4708945.6,11423842.82,5114.9,8357.33,1086075.2,1260789.73,1.16,2.43,2024.APR.Monthly.Auction,7689
04/01/2024,BUY,OBL,16289344,268351.5,18985.44,64674414.4,81770063.3,76395.4,142293.46,18368193.6,22035563.9,1.2,1.26,2024.APR.Monthly.Auction,7689
04/01/2024,BUY,OPT,67527072,5293342.8,343463.92,1263160161.6,313242817.58,164611.0,1154401.97,39592398.4,25497222.43,0.64,0.25,2024.APR.Monthly.Auction,7689
04/01/2024,SELL,OPT,11074080,148473.0,78508.49,35977505.6,39945902.8,71167.1,62815.48,17293878.4,18972833.94,1.1,1.11,2024.APR.Monthly.Auction,7689
05/01/2024,SELL,OPT,13237416,157327.2,86179.27,39422007.2,39741344.55,68891.2,66406.07,17168540.0,16556545.72,0.96,1.01,2024.MAY.Monthly.Auction,7710
05/01/2024,BUY,OBL,21155256,305590.0,-32520.29,76177464.0,53607964.58,78671.8,181759.1,19556501.6,19492181.15,1.0,0.7,2024.MAY.Monthly.Auction,7710
05/01/2024,BUY,OPT,65749408,5124805.6,284099.98,1268144392.0,312277907.38,187977.7,954242.02,45880319.2,27153822.88,0.59,0.25,2024.MAY.Monthly.Auction,7710
05/01/2024,SELL,OBL,2074120,19066.5,27496.46,4732932.8,10474811.26,7653.5,12303.97,1896320.8,921576.75,0.49,2.21,2024.MAY.Monthly.Auction,7710
06/01/2024,BUY,OPT,57081760,5474494.6,273026.58,1314836232.0,305233868.32,165701.4,1082380.01,40147232.0,28783187.31,0.72,0.23,2024.JUN.Monthly.Auction,7750
