 Start Date, Class, Hedge Type, Number Of Hours, Bid MW, Bid Price,Bid MWHs,Bid MWHs Bid Price, Awarded Mw, Clearing Price,Awarded MWHs,Awarded MWHs Clearing Price,Weighted Avg Bid Price,Weighted Avg Clear Price,Auction
7/1/2019,BUY,OPT,42829928,1977925.7,139446.7,488505030.4,138439908.7,79910,769786.2951,19795080.8,10721543.39,0.541626654,0.283395052,2019_07_JUL
7/1/2019,SELL,OBL,602632,10082.1,8785.14,2542324.8,5902789.584,2543.2,1363.277834,628082.4,794945.93,1.265671399,2.321807813,2019_07_JUL
7/1/2019,SELL,OPT,4359248,94616.8,51823.29,23348288.8,31097727.62,16731.5,32197.40999,4123942.4,5309601.344,1.287506184,1.331906072,2019_07_JUL
8/1/2019,BUY,OBL,10143336,193914.5,-2081951.45,49347303.2,-493376157.5,49583.6,3241.354967,12506386.4,5479097.049,0.438103931,-9.998036884,2019_08_AUG
8/1/2019,BUY,OPT,38410072,1941375,89458.56,478184958.4,107718442.6,74614.5,564628.0611,18414924.8,8889034.427,0.482708158,0.225265226,2019_08_AUG
8/1/2019,SELL,OBL,600984,9599.1,3923.89,2415344,2604839.144,2727.6,1346.507711,672087.2,1257789.861,1.871468257,1.078454723,2019_08_AUG
8/1/2019,SELL,OPT,4093864,97203,32960.27,23806564,22387800.18,17451,19602.36072,4267070.4,6362619.936,1.491097952,0.940404511,2019_08_AUG
9/1/2019,BUY,OBL,12738480,228647.9,-210683.8,56415680,-39831063.44,48688.8,9380.709133,11983520,3587397.569,0.29936092,-0.706028243,2019_09_SEP
9/1/2019,BUY,OPT,33856720,1891129.4,80125.32,457309624,103938545.5,71138.5,508190.128,17202312,8299763.085,0.482479511,0.227282655,2019_09_SEP
9/1/2019,SELL,OBL,431920,7352.7,7130.83,1780976,5385454.08,1788.9,1953.272788,426088,832579.3218,1.954007909,3.023877964,2019_09_SEP
9/1/2019,SELL,OPT,4437840,110074.4,39316.31,26227720,29254110.4,27966.4,21480.03897,6667096,6790508.203,1.018510638,1.115389001,2019_09_SEP
10/1/2019,BUY,OBL,18886896,262348.7,-7060826.23,67932817.6,-623658894,51303.1,56386.70308,13178136.8,3905908.415,0.296393069,-9.180524466,2019_10_OCT
10/1/2019,BUY,OPT,36612488,1765089.4,90538.75,429951687.2,109230124.1,73193.6,516334.3533,18479480.8,7219521.643,0.390677732,0.254052089,2019_10_OCT
10/1/2019,SELL,OBL,453704,9953.7,7882.77,2498025.6,8874887.36,2294.6,3113.085935,558992.8,1348023.676,2.411522431,3.552760772,2019_10_OCT
10/1/2019,SELL,OPT,4764008,109851.9,41453.44,27094219.2,30722807.52,25604.5,21981.38535,6299048,6755255.784,1.072424878,1.133924816,2019_10_OCT
11/1/2019,BUY,OBL,17755461,240258.9,-5616817.59,59593407.9,-562379075.3,50293.2,47196.07563,12564034.6,6113034.171,0.48655025,-9.436934304,2019_11_NOV
11/1/2019,BUY,OPT,42335235,1946643.2,143794.77,476836898.8,146871338.4,66556.4,788864.2189,15909486.2,8248892.854,0.518488954,0.308011689,2019_11_NOV
11/1/2019,SELL,OBL,553345,10515.2,9662.56,2571327,10722036.92,2098.8,4213.563996,499223.6,1295477.561,2.594984613,4.169845734,2019_11_NOV
11/1/2019,SELL,OPT,4597755,105218.3,60251.85,25282105.7,39647727.4,23468.3,28234.05399,5629182.8,7956346.194,1.413410521,1.568213023,2019_11_NOV
12/1/2019,BUY,OBL,16060128,231308.6,-3070448.29,58861008,-503477666.7,47549.8,127852.3737,12295587.2,5370499.321,0.436782663,-8.553670483,2019_12_DEC
12/1/2019,BUY,OPT,40937720,1973012.7,141845.56,495171056,161885313.5,70092.7,902746.3522,17514505.6,9908306.791,0.565720039,0.326928062,2019_12_DEC
12/1/2019,SELL,OBL,563160,12635.7,9529.54,3126490.4,15704644.33,3481.3,4927.102278,835387.2,2500330.181,2.993019502,5.023090532,2019_12_DEC
12/1/2019,SELL,OPT,4414792,102114.9,58671.94,25394613.6,40060467.03,26831.2,36634.8915,6683371.2,8404067.05,1.257459267,1.577518275,2019_12_DEC
1/1/2020,BUY,OBL,15146056,200016.2,-5449742.33,50566059.2,-575971656.3,44659.1,37687.1929,11357036.8,5170106.489,0.455233753,-11.39047941,2020_01_JAN
1/1/2020,BUY,OPT,39183440,2433357.4,188161.81,638899382.4,214961003.1,72660,1193585.607,17850357.6,16057889.66,0.89958364,0.336455174,2020_01_JAN
1/1/2020,SELL,OBL,682488,9536.1,13951.35,2365504,7842148.176,1903,3307.645649,462844,477720.0425,1.032140511,3.315212393,2020_01_JAN
1/1/2020,SELL,OPT,6667336,111455.6,140454.66,27734599.2,74202174.62,26678.3,59257.47851,6665972,6907490.68,1.036231577,2.675437063,2020_01_JAN
2/1/2020,BUY,OBL,14612632,260039.8,-2885690.25,60474451.2,-485234956.2,46764.9,-9368.193629,10969884.8,11765760.99,1.072551007,-8.023800903,2020_02_FEB
2/1/2020,BUY,OPT,36288440,2578346.6,123837.43,641073084.8,170313991.5,72043.8,790423.99,16336553.6,11030626.42,0.67521135,0.265670164,2020_02_FEB
2/1/2020,SELL,OBL,816056,11807.4,43917.65,2738621.6,9837515.544,2559.8,4331.47509,600192,682448.1591,1.137049743,3.592141223,2020_02_FEB
2/1/2020,SELL,OPT,6468400,111194.1,95519.01,26035722.4,46901928.48,29140.6,46413.8625,6674616.8,7772340.709,1.164462462,1.801445251,2020_02_FEB
3/1/2020,BUY,OBL,14432362,229521,-2220461.35,58367814.4,-492338812.4,55017.3,145926.9828,13846615.3,17659685.24,1.275379207,-8.435107901,2020_03_MAR
3/1/2020,BUY,OPT,40039656,2400972.5,181788.11,641312698.8,187454596,79002,1105016.802,19340775.9,12098136.99,0.625524904,0.292298276,2020_03_MAR
3/1/2020,SELL,OBL,761251,11810.3,39664.87,2914842.3,7468234.639,3687.1,1556.607542,907615.2,876428.227,0.965638551,2.562140202,2020_03_MAR
3/1/2020,SELL,OPT,6173043,106498.6,105161.74,26607032.5,55222378.96,24994.6,57284.1806,6130419.9,7452840.4,1.215714506,2.075480569,2020_03_MAR
4/1/2020,BUY,OBL,17127552,233914,-4288448.61,57672561.6,-562532460.4,52990.4,70939.04829,12993932.8,21455617.02,1.651202707,-9.753901072,2020_04_APR
4/1/2020,BUY,OPT,35023072,1920721.1,250879.9,455594835.2,192962635.6,80440.8,1057592.32,19086540.8,17344399.83,0.908724111,0.423539998,2020_04_APR
4/1/2020,SELL,OBL,753472,11906.5,41012.63,2843593.6,9257572.576,2453.4,1256.704448,581816,714075.7614,1.227322317,3.255589187,2020_04_APR
4/1/2020,SELL,OPT,5845952,106835.6,118413.48,26031502.4,59162875.68,27521.7,71155.26457,6588284.8,14425126.95,2.189511746,2.272741495,2020_04_APR
5/1/2020,BUY,OBL,17178736,236541.5,-3847188.33,59916164.8,-582883831.9,60881.2,59299.69951,15234970.4,10136046.36,0.665314477,-9.728323465,2020_05_MAY
5/1/2020,BUY,OPT,37247152,1879787.6,86813.27,475103444.8,117932975.1,85129.8,481616.6898,21265795.2,10773696.21,0.506620895,0.248225889,2020_05_MAY
5/1/2020,SELL,OBL,716464,9407.7,40485.99,2298384,8036634.856,2471.1,2187.887789,600571.2,1014826.335,1.689768565,3.496645842,2020_05_MAY
5/1/2020,SELL,OPT,5543736,102461.9,50772.01,25513698.4,35371274.43,25494.9,20014.47515,6356308.8,6940546.294,1.091914586,1.386364057,2020_05_MAY
6/1/2020,BUY,OBL,18557616,268225.1,-2299851.31,66404326.4,-541559526,68457.5,23944.19331,16497638.4,8523666.137,0.516659775,-8.155485573,2020_06_JUN
