Start Date,Class,Hedge Type,Time Of Use,Number Of Hours,Bid MW,Bid Price,Bid MWHs,Bid MWHs Bid Price,Awarded Mw,Clearing Price,Awarded MWHs,Awarded MWHs Clearing Price,Weighted Avg Clear Price,Weighted Avg Bid Price,Auction,Market ID
12/01/2020,BUY,OPT,PeakWD,1902208,100591.4,3755.16,35408172.8,12265405.86,5156.6,12429.22,1815123.2,1319307.23,0.73,0.35,2020.2nd6.AnnualAuction.Seq4,5125
10/01/2020,BUY,OPT,PeakWE,831328,66845.8,2883.87,10931867.2,4017570.02,5482.7,10862.31,825836.8,514366.97,0.62,0.37,2020.2nd6.AnnualAuction.Seq4,5125
11/01/2020,SELL,OPT,Off-peak,171007,1772.0,4427.03,503386.4,5843486.42,366.6,890.52,90260.2,75508.67,0.84,11.61,2020.2nd6.AnnualAuction.Seq4,5125
08/01/2020,SELL,OPT,PeakWD,134064,1486.7,397.86,499531.2,513608.93,579.7,524.79,194779.2,409671.69,2.1,1.03,2020.2nd6.AnnualAuction.Seq4,5125
12/01/2020,BUY,OBL,PeakWD,626912,25808.1,-67818.24,9084451.2,-50337231.65,4594.3,1238.87,1617193.6,817167.79,0.51,-5.54,2020.2nd6.AnnualAuction.Seq4,5125
10/01/2020,BUY,OBL,PeakWE,377840,25116.5,-65167.96,4884056.0,-21893875.57,4958.5,595.61,914968.0,708340.79,0.77,-4.48,2020.2nd6.AnnualAuction.Seq4,5125
10/01/2020,SELL,OPT,PeakWD,196000,2673.4,609.77,1015910.4,1224966.69,853.5,537.91,300432.0,346584.09,1.15,1.21,2020.2nd6.AnnualAuction.Seq4,5125
08/01/2020,BUY,OBL,PeakWE,200112,19091.0,-63079.2,3061040.0,-19525242.08,5337.7,414.78,856192.0,1117199.17,1.3,-6.38,2020.2nd6.AnnualAuction.Seq4,5125
10/01/2020,BUY,OPT,PeakWD,2508544,103435.7,4492.04,39409360.0,15617004.9,5280.6,16459.85,2066364.8,1707369.4,0.83,0.4,2020.2nd6.AnnualAuction.Seq4,5125
07/01/2020,SELL,OBL,PeakWD,548208,1615.7,510.69,1983872.0,4782825.92,453.9,-276.48,507214.4,517099.45,1.02,2.41,2020.2nd6.AnnualAuction.Seq4,5125
07/01/2020,SELL,OPT,Off-peak,3481933,10178.1,9470.66,12795038.0,26732577.97,2137.8,1945.45,2543739.9,1111410.46,0.44,2.09,2020.2nd6.AnnualAuction.Seq4,5125
05/01/2021,BUY,OPT,PeakWD,3908576,131832.1,5873.08,49240352.0,18351559.36,4827.5,29015.52,1704467.2,1544287.91,0.91,0.37,2021.1st6.AnnualAuction.Seq5,5145
01/01/2021,SELL,OPT,PeakWE,527824,4574.2,1323.39,3037601.6,4903248.5,882.5,607.2,510915.2,442340.6,0.87,1.61,2021.1st6.AnnualAuction.Seq5,5145
06/01/2021,BUY,OBL,PeakWE,159744,18068.5,-61162.71,2312768.0,-15198321.92,4291.6,869.16,549324.8,542394.96,0.99,-6.57,2021.1st6.AnnualAuction.Seq5,5145
01/01/2021,SELL,OPT,PeakWD,1165632,4289.7,1377.17,6086614.4,11989214.16,654.3,733.78,854328.0,1198474.6,1.4,1.97,2021.1st6.AnnualAuction.Seq5,5145
06/01/2021,SELL,OBL,PeakWE,10752,476.7,-6.0,61017.6,8766.72,101.6,-127.76,13004.8,8002.53,0.62,0.14,2021.1st6.AnnualAuction.Seq5,5145
05/01/2021,BUY,OBL,Off-peak,496840,20635.2,-61090.33,6009537.6,-32162552.73,4116.2,804.06,1073569.6,557020.33,0.52,-5.35,2021.1st6.AnnualAuction.Seq5,5145
01/01/2021,SELL,OPT,Off-peak,769272,3862.5,1190.11,4174291.7,5253724.42,880.0,523.78,824214.4,729928.12,0.89,1.26,2021.1st6.AnnualAuction.Seq5,5145
02/01/2021,BUY,OBL,PeakWE,144768,15485.6,-61156.02,1982156.8,-15200074.5,3468.6,586.23,443980.8,249632.66,0.56,-7.67,2021.1st6.AnnualAuction.Seq5,5145
03/01/2021,SELL,OPT,PeakWD,151648,1909.9,639.22,767080.0,1375068.62,668.9,521.64,266299.2,523977.42,1.97,1.79,2021.1st6.AnnualAuction.Seq5,5145
01/01/2021,SELL,OBL,Off-peak,98861,1052.8,259.48,982407.0,2918881.79,110.3,31.51,61647.0,44415.58,0.72,2.97,2021.1st6.AnnualAuction.Seq5,5145
04/01/2021,BUY,OPT,PeakWE,726016,70129.5,2928.38,10257096.0,4193860.05,7313.7,9545.88,1025894.4,778717.84,0.76,0.41,2021.1st6.AnnualAuction.Seq5,5145
05/01/2021,SELL,OBL,PeakWD,42560,290.5,-80.05,114678.4,10693.38,32.5,-403.72,13040.0,27415.19,2.1,0.09,2021.1st6.AnnualAuction.Seq5,5145
02/01/2021,SELL,OBL,PeakWD,12208,214.2,9.7,71304.0,16295.2,10.1,-13.86,3232.0,-390.06,-0.12,0.23,2021.1st6.AnnualAuction.Seq5,5145
05/01/2021,SELL,OPT,PeakWD,97056,1796.9,614.9,621436.8,2097711.68,392.0,434.48,131283.2,347359.61,2.65,3.38,2021.1st6.AnnualAuction.Seq5,5145
04/01/2021,SELL,OBL,PeakWE,9440,436.7,14.84,58185.6,23407.94,87.1,-19.01,12908.8,11712.21,0.91,0.4,2021.1st6.AnnualAuction.Seq5,5145
06/01/2021,BUY,OPT,PeakWD,2083136,119475.6,4116.98,42055411.2,18052784.29,5523.1,18905.92,1944131.2,2896931.39,1.49,0.43,2021.1st6.AnnualAuction.Seq5,5145
03/01/2021,BUY,OBL,PeakWE,366240,23673.4,-63583.22,4133232.0,-18886350.24,4436.1,1127.53,704308.8,357476.24,0.51,-4.57,2021.1st6.AnnualAuction.Seq5,5145
03/01/2021,BUY,OPT,PeakWE,1014336,74398.3,3714.24,11692542.4,5217111.14,8419.4,11930.61,1177993.6,894001.65,0.76,0.45,2021.1st6.AnnualAuction.Seq5,5145
02/01/2021,BUY,OPT,Off-peak,665540,54387.4,1875.86,12197853.7,4755539.04,4963.6,4682.85,1111846.4,734709.72,0.66,0.39,2021.1st6.AnnualAuction.Seq5,5145
06/01/2021,SELL,OPT,PeakWD,68640,1191.1,338.63,419267.2,1240865.12,435.3,331.51,153225.6,384746.34,2.51,2.96,2021.1st6.AnnualAuction.Seq5,5145
05/01/2021,SELL,OBL,Off-peak,27824,401.7,-12.76,111117.6,-4645.05,16.8,-139.86,5174.4,8098.93,1.57,-0.04,2021.1st6.AnnualAuction.Seq5,5145
06/01/2021,BUY,OPT,PeakWE,548224,73674.3,2585.87,9430310.4,3769134.59,6369.9,9471.45,815347.2,632940.17,0.78,0.4,2021.1st6.AnnualAuction.Seq5,5145
06/01/2021,SELL,OBL,Off-peak,18720,436.9,6.35,104856.0,4818.72,85.1,-26.6,20424.0,15143.0,0.74,0.05,2021.1st6.AnnualAuction.Seq5,5145
02/01/2021,SELL,OBL,PeakWE,6656,259.4,7.59,33203.2,6442.75,52.1,-11.91,6668.8,1866.63,0.28,0.19,2021.1st6.AnnualAuction.Seq5,5145
03/01/2021,BUY,OBL,PeakWD,957392,25738.6,-67848.53,12343100.8,-58591666.16,4277.3,1574.89,1739547.2,1074775.13,0.62,-4.75,2021.1st6.AnnualAuction.Seq5,5145
03/01/2021,SELL,OPT,Off-peak,54547,1809.2,285.53,481137.2,673514.8,609.8,235.48,150620.6,199258.25,1.32,1.4,2021.1st6.AnnualAuction.Seq5,5145
02/01/2021,SELL,OPT,PeakWE,32000,1084.5,313.51,138816.0,140043.39,455.2,365.3,58265.6,84405.29,1.45,1.01,2021.1st6.AnnualAuction.Seq5,5145
02/01/2021,BUY,OPT,PeakWE,510992,71011.0,2438.23,9105520.0,3666694.98,7466.8,7332.12,955750.4,681607.81,0.71,0.4,2021.1st6.AnnualAuction.Seq5,5145
04/01/2021,SELL,OBL,Off-peak,23544,554.4,6.13,135660.0,23692.4,180.1,-21.94,45704.0,19708.33,0.43,0.17,2021.1st6.AnnualAuction.Seq5,5145
05/01/2021,BUY,OPT,Off-peak,1793872,67695.1,3064.77,20339616.8,6415569.9,4127.9,11219.41,1201343.2,680051.82,0.57,0.32,2021.1st6.AnnualAuction.Seq5,5145
04/01/2021,SELL,OBL,PeakWD,17184,270.4,0.44,100300.8,20452.13,103.8,-18.36,38457.6,76150.38,1.98,0.2,2021.1st6.AnnualAuction.Seq5,5145
03/01/2021,SELL,OBL,Off-peak,30644,455.4,-26.86,135595.8,-1583.45,83.4,-153.73,25159.8,16192.71,0.64,-0.01,2021.1st6.AnnualAuction.Seq5,5145
03/01/2021,SELL,OPT,PeakWE,43296,1242.7,497.24,186251.2,378380.7,412.5,375.2,53404.8,81278.15,1.52,2.03,2021.1st6.AnnualAuction.Seq5,5145
