 Start Date, Class, Hedge Type, Time Of Use, Number Of Hours, Bid MW, Bid Price,Bid MWHs,Bid MWHs Bid Price, Awarded Mw, Clearing Price,Awarded MWHs,Awarded MWHs Clearing Price,Weighted Avg Bid Price,Weighted Avg Clear Price,Auction
7/1/2019,SELL,OPT,PeakWD,3792688,15699.1,12584,24944174.4,54520219.74,3167.2,3411.175586,4429776,5069577.426,1.144432004,2.185689487,2019_2nd6_Annual_Seq2
7/1/2019,SELL,OPT,PeakWE,1695472,17497.5,12071.63,12272752,21144894.66,3767.1,2232.408168,2310793.6,1522131.276,0.65870499,1.722913871,2019_2nd6_Annual_Seq2
8/1/2019,BUY,OBL,Off-peak,319881,20886.2,-57188.77,5181803.6,-21674191.7,5804.3,657.84236,1439490.4,583447.4553,0.405315281,-4.182750519,2019_2nd6_Annual_Seq2
8/1/2019,BUY,OBL,PeakWD,493008,28486.3,-59020.3,10057753.6,-22108494.46,9587.7,1952.426599,3376934.4,6071355.378,1.797889642,-2.198154314,2019_2nd6_Annual_Seq2
8/1/2019,BUY,OBL,PeakWE,188928,22219.8,-11667.53,3206579.2,-3011149.856,8480.2,1290.768033,1221772.8,1859069.992,1.521616778,-0.939053636,2019_2nd6_Annual_Seq2
8/1/2019,BUY,OPT,Off-peak,906688,57708.6,3327.37,14311732.8,4299922.952,5206.1,6953.319875,1291112.8,832148.1239,0.644520079,0.300447403,2019_2nd6_Annual_Seq2
8/1/2019,BUY,OPT,PeakWD,2023632,105729.6,4813.65,37217507.2,17113423.26,5628.7,19631.4306,1981990.4,2591780.344,1.307665437,0.459821857,2019_2nd6_Annual_Seq2
8/1/2019,BUY,OPT,PeakWE,666432,68065.1,3241.25,9801374.4,4108234.752,4990,11853.10334,718560,679126.7231,0.945121803,0.419148844,2019_2nd6_Annual_Seq2
8/1/2019,SELL,OBL,Off-peak,20832,390.1,95.03,96744.8,63961.184,97.8,26.16785,24254.4,10314.13023,0.4252478,0.661133043,2019_2nd6_Annual_Seq2
8/1/2019,SELL,OBL,PeakWD,47168,410.9,94.97,144636.8,96846.816,67.9,-880.200012,23900.8,12929.40299,0.540961097,0.669586274,2019_2nd6_Annual_Seq2
8/1/2019,SELL,OBL,PeakWE,14544,347.1,31.31,49982.4,25903.152,61.2,-407.804125,8812.8,12364.16414,1.402977958,0.518245462,2019_2nd6_Annual_Seq2
8/1/2019,SELL,OPT,Off-peak,106392,3194.7,2705.67,792285.6,2294998.944,523.1,592.304173,129728.8,46214.64691,0.356240456,2.896681379,2019_2nd6_Annual_Seq2
8/1/2019,SELL,OPT,PeakWD,157344,2793.9,908.79,983452.8,1498805.088,743,506.580277,261536,348377.9952,1.332046048,1.524023408,2019_2nd6_Annual_Seq2
8/1/2019,SELL,OPT,PeakWE,56736,2334.3,949.64,336139.2,459986.544,736.1,342.326634,105998.4,67410.34216,0.635956223,1.368440646,2019_2nd6_Annual_Seq2
9/1/2019,BUY,OBL,Off-peak,476796,23642.8,-59411.92,6553514.1,-28447377.05,5096.9,649.441194,1271311.2,490052.9394,0.385470481,-4.340782154,2019_2nd6_Annual_Seq2
9/1/2019,BUY,OBL,PeakWD,859232,33665.4,-63078.81,14309713.6,-35763774.21,8602.2,1236.300541,3089163.2,3954305.721,1.28005724,-2.499265548,2019_2nd6_Annual_Seq2
9/1/2019,BUY,OBL,PeakWE,369504,26274.7,-14728.96,5062025.6,-9837284.16,8193.9,432.645363,1337315.2,961464.5679,0.71895135,-1.94334935,2019_2nd6_Annual_Seq2
9/1/2019,BUY,OPT,Off-peak,3014755,76319.8,8103.62,31760157.4,11571597.11,5633.3,17806.2008,2018338.7,1425077.276,0.706064485,0.364343192,2019_2nd6_Annual_Seq2
9/1/2019,BUY,OPT,PeakWD,6639264,141861.6,8368.11,76142348.8,26917860.27,6249.8,31182.74935,2858574.4,2691349.962,0.941500757,0.353520225,2019_2nd6_Annual_Seq2
9/1/2019,BUY,OPT,PeakWE,2695808,99907.5,6868.77,28131862.4,9210161.12,6288.8,21167.2473,1366291.2,1259685.792,0.921974607,0.327392513,2019_2nd6_Annual_Seq2
9/1/2019,SELL,OBL,Off-peak,39379,778.9,553.98,268261.2,467318.86,164.8,87.385979,40990.4,56654.30387,1.382135912,1.742029261,2019_2nd6_Annual_Seq2
9/1/2019,SELL,OBL,PeakWD,74864,862.6,227.56,339604.8,551179.264,188.1,-188.51662,66227.2,82789.54478,1.250083724,1.623001983,2019_2nd6_Annual_Seq2
9/1/2019,SELL,OBL,PeakWE,55712,904.3,323.08,274723.2,923929.824,111,-168.1071,24172.8,21574.11604,0.892495534,3.363129958,2019_2nd6_Annual_Seq2
9/1/2019,SELL,OPT,Off-peak,225704,3949.8,6316.19,1137249.7,6128731.477,575.1,1040.959022,138024,71107.42486,0.515181598,5.389081639,2019_2nd6_Annual_Seq2
9/1/2019,SELL,OPT,PeakWD,315776,4670.7,3931.51,1691014.4,7008143.12,1117.2,913.623464,363734.4,422851.3326,1.162527747,4.144342662,2019_2nd6_Annual_Seq2
9/1/2019,SELL,OPT,PeakWE,140288,4243.1,5019,807913.6,4861294.176,1290.8,833.677557,208998.4,152373.3204,0.72906453,6.0170966,2019_2nd6_Annual_Seq2
10/1/2019,BUY,OBL,Off-peak,444595,20480.2,-12057.56,6148666.1,-9787986.09,5427.3,1215.344738,1867670.4,1696002.154,0.908084292,-1.591887725,2019_2nd6_Annual_Seq2
10/1/2019,BUY,OBL,PeakWD,754608,28953.4,-15200.56,13007366.4,-13390264.5,8774.6,1378.536284,4091067.2,4121083.96,1.007337147,-1.029437019,2019_2nd6_Annual_Seq2
10/1/2019,BUY,OBL,PeakWE,254528,23968.6,-12309.18,4036556.8,-5659187.904,8736.3,753.654621,1479910.4,1159321.823,0.783372982,-1.401983964,2019_2nd6_Annual_Seq2
10/1/2019,BUY,OPT,Off-peak,1236737,51979.1,4614.01,15238256.5,6357975.755,3929.6,8635.08166,1132585.1,924374.4234,0.816163327,0.417237743,2019_2nd6_Annual_Seq2
10/1/2019,BUY,OPT,PeakWD,2897232,109420,4893.02,44339470.4,16242843.1,6477.3,13551.84288,2753259.2,2353397.969,0.85476804,0.366329209,2019_2nd6_Annual_Seq2
10/1/2019,BUY,OPT,PeakWE,907648,69454.9,3509.08,10559187.2,3676342.912,6295.9,9325.25655,1031923.2,613852.5036,0.594862586,0.348165332,2019_2nd6_Annual_Seq2
10/1/2019,SELL,OBL,Off-peak,43651,1126.5,704.91,396883.1,1112851.404,156.5,55.926053,54452.9,55619.09922,1.02141666,2.803977806,2019_2nd6_Annual_Seq2
10/1/2019,SELL,OBL,PeakWD,66464,1174.8,199.39,540102.4,1351332.112,140.7,-32.976411,55009.6,103728.9204,1.885651238,2.501992422,2019_2nd6_Annual_Seq2
10/1/2019,SELL,OBL,PeakWE,15264,828.3,79.21,150294.4,320090.752,136.2,-64.23583,18793.6,23010.35798,1.224372019,2.129758341,2019_2nd6_Annual_Seq2
10/1/2019,SELL,OPT,Off-peak,233452,5050.2,1154.31,1394983,1728430.091,948.4,566.315184,243397.2,125954.6534,0.517486041,1.239033086,2019_2nd6_Annual_Seq2
10/1/2019,SELL,OPT,PeakWD,711344,5214.6,2360.34,2089953.6,3489502.144,1319.5,1194.926114,536772.8,433455.2614,0.807520913,1.669655319,2019_2nd6_Annual_Seq2
10/1/2019,SELL,OPT,PeakWE,141216,4497.9,1173.53,657843.2,843244.768,1193.3,548.092873,172630.4,114014.272,0.660453037,1.281832461,2019_2nd6_Annual_Seq2
11/1/2019,BUY,OBL,Off-peak,645324,23765.7,-12564.77,6977007.3,-12409223.07,5332.5,1757.396445,1348025.3,412816.2445,0.306237757,-1.778588231,2019_2nd6_Annual_Seq2
11/1/2019,BUY,OBL,PeakWD,1023856,30995.8,-15816.12,12465502.4,-16179298.53,7036.1,2280.745775,2384104,2016741.499,0.845911713,-1.297925909,2019_2nd6_Annual_Seq2
11/1/2019,BUY,OBL,PeakWE,544320,29767.6,-13095.62,6202144,-9420503.52,7604.8,1346.421878,1303632,572022.7064,0.43879155,-1.518910802,2019_2nd6_Annual_Seq2
11/1/2019,BUY,OPT,Off-peak,1538378,57978,7709.75,16801361.2,9052599.973,5186.5,13052.07328,1563492.9,1404334.626,0.898203392,0.538801581,2019_2nd6_Annual_Seq2
11/1/2019,BUY,OPT,PeakWD,3919888,131065.8,7691.24,51496492.8,18997055.98,6536.1,17941.7804,2556139.2,2332514.853,0.912514801,0.368899996,2019_2nd6_Annual_Seq2
11/1/2019,BUY,OPT,PeakWE,1059360,67634.2,5645,11998624,5737824.8,6058.9,11599.50576,1100144,884587.2626,0.804064979,0.478206901,2019_2nd6_Annual_Seq2
11/1/2019,SELL,OBL,Off-peak,85955,966.4,660.07,286420.8,741849.53,132.3,-6.312226,41109.9,20602.53526,0.501157513,2.590068633,2019_2nd6_Annual_Seq2
11/1/2019,SELL,OBL,PeakWD,93984,1112.8,294.45,401086.4,874663.232,198.8,27.310156,79777.6,154600.8158,1.937897553,2.180735203,2019_2nd6_Annual_Seq2
11/1/2019,SELL,OBL,PeakWE,51680,841.4,123.68,180240,170324,118.9,-16.345052,24240,32094.22352,1.324019122,0.944984465,2019_2nd6_Annual_Seq2
11/1/2019,SELL,OPT,Off-peak,188960,4673.1,8580.93,1247340.3,6590347.499,584.6,860.82933,140938.2,71752.00852,0.509102632,5.283520062,2019_2nd6_Annual_Seq2
11/1/2019,SELL,OPT,PeakWD,312640,5413.5,4996.65,1890172.8,9026414.768,847,993.12299,286294.4,316639.9538,1.105994227,4.775444218,2019_2nd6_Annual_Seq2
11/1/2019,SELL,OPT,PeakWE,149760,5097.3,5861.1,915120,5348410.08,1147.1,962.500962,192880,111104.0725,0.576026921,5.844490427,2019_2nd6_Annual_Seq2
12/1/2019,BUY,OBL,Off-peak,330832,19690.4,-12331.69,4883219.2,-11226610.32,5578.5,879.996441,1383468,595089.4252,0.430143252,-2.299018303,2019_2nd6_Annual_Seq2
12/1/2019,BUY,OBL,PeakWD,468384,23424.4,-14927.45,7870598.4,-12933427.25,6600.7,1130.869017,2217835.2,1759145.157,0.793181187,-1.64325844,2019_2nd6_Annual_Seq2
12/1/2019,BUY,OBL,PeakWE,199040,18778,-12166.17,3004480,-6861858.72,5478.8,641.568736,876608,375198.8418,0.428012112,-2.283875652,2019_2nd6_Annual_Seq2
12/1/2019,BUY,OPT,Off-peak,876432,48153.3,4111.86,11942018.4,4668760.456,4126.2,7773.339485,1023297.6,804119.9422,0.785812399,0.390952375,2019_2nd6_Annual_Seq2
12/1/2019,BUY,OPT,PeakWD,1924608,105628.8,4165.72,35491276.8,11297974.46,5721.8,10975.27728,1922524.8,1679759.568,0.873725826,0.318331023,2019_2nd6_Annual_Seq2
12/1/2019,BUY,OPT,PeakWE,706400,63938.3,2812.58,10230128,3427845.76,5876.6,7250.477487,940256,598295.3108,0.63631108,0.335073594,2019_2nd6_Annual_Seq2
12/1/2019,SELL,OBL,Off-peak,31992,998,88.71,247504,231698.96,208.2,-19.322438,51633.6,40255.16507,0.779631191,0.936142285,2019_2nd6_Annual_Seq2
12/1/2019,SELL,OBL,PeakWD,43008,851.8,184.46,286204.8,536874.24,135.8,14.34753,45628.8,63794.89039,1.398127726,1.875839399,2019_2nd6_Annual_Seq2
12/1/2019,SELL,OBL,PeakWE,18720,805.7,96.51,128912,96123.52,108.7,-24.893163,17392,15390.73718,0.884931991,0.745652228,2019_2nd6_Annual_Seq2
12/1/2019,SELL,OPT,Off-peak,164920,5696.4,1440.31,1412707.2,2343230.976,1241.5,566.631919,307892,124033.3699,0.402847004,1.658681272,2019_2nd6_Annual_Seq2
12/1/2019,SELL,OPT,PeakWD,300048,5308.4,2171.43,1783622.4,3038149.632,917.1,814.61523,308145.6,243602.1879,0.790542484,1.703359204,2019_2nd6_Annual_Seq2
12/1/2019,SELL,OPT,PeakWE,109120,5525.2,1193.73,884032,1051890.24,1140.8,475.29028,182528,82590.96274,0.452483798,1.189878013,2019_2nd6_Annual_Seq2
1/1/2020,BUY,OBL,Off-peak,1737019,34361.4,-26418.94,22330402.4,-28460028.81,7312.1,1933.941076,3761639.7,2578148.125,0.685378806,-1.274496908,2020_1st6_Annual_Seq3
1/1/2020,BUY,OBL,PeakWD,2824000,42325.9,-37429.96,34853878.4,-44706749.66,8175.5,2669.288502,5310508.8,4701940.273,0.885402972,-1.282690814,2020_1st6_Annual_Seq3
1/1/2020,BUY,OBL,PeakWE,1092704,35332.7,-26094.69,13444502.4,-16543820.64,7847.6,1696.265603,2330064,1849202.405,0.793627302,-1.230526809,2020_1st6_Annual_Seq3
1/1/2020,BUY,OPT,Off-peak,25686085,206687,11946.82,222492548.1,41633668.04,15083.7,41364.33585,16435231.9,4048006.355,0.246300532,0.187123876,2020_1st6_Annual_Seq3
1/1/2020,BUY,OPT,PeakWD,47244672,270429.1,15312.53,361553187.2,104376869.2,14499.6,75650.90331,20672595.2,8643009.658,0.418090209,0.28869022,2020_1st6_Annual_Seq3
1/1/2020,BUY,OPT,PeakWE,18898832,245448.5,11224.74,154905944,31741348.35,14855.3,52808.89648,8657492.8,2594567.117,0.299690358,0.204907233,2020_1st6_Annual_Seq3
1/1/2020,SELL,OBL,Off-peak,912735,3392.4,4632.61,3552854.6,8175407.263,474,826.736376,570652.2,500409.7524,0.876908478,2.301081295,2020_1st6_Annual_Seq3
1/1/2020,SELL,OBL,PeakWD,1007744,2229.3,6921.88,3054032,10945907.87,350.2,1263.149293,426764.8,619599.7185,1.451852914,3.584084211,2020_1st6_Annual_Seq3
1/1/2020,SELL,OBL,PeakWE,529392,2556,5843,1591169.6,4154173.952,375,1044.47734,264873.6,221201.2421,0.835120005,2.610767546,2020_1st6_Annual_Seq3
1/1/2020,SELL,OPT,Off-peak,3261574,16058.4,7690.25,18803479.3,39283742.36,3593.2,2331.276625,4628644.6,1263869.329,0.273053872,2.089174122,2020_1st6_Annual_Seq3
1/1/2020,SELL,OPT,PeakWD,4452896,16123.1,13798.65,25487952,79393576,3175.6,2964.047586,4885206.4,3223324.016,0.659813271,3.114945289,2020_1st6_Annual_Seq3
1/1/2020,SELL,OPT,PeakWE,1880768,16402.7,10793.57,11129536,27613324.3,3385.7,2597.073924,2202451.2,1414284.711,0.642141225,2.481084953,2020_1st6_Annual_Seq3
2/1/2020,BUY,OBL,Off-peak,266336,16347.5,-10853.61,3792620,-7423405.384,4241.6,1106.059746,984051.2,613877.9171,0.623827213,-1.957329072,2020_1st6_Annual_Seq3
2/1/2020,BUY,OBL,PeakWD,432768,23090.1,-14447.68,7403334.4,-12597516.7,5593.8,1124.696412,1790016,1358401.423,0.758876693,-1.70160039,2020_1st6_Annual_Seq3
2/1/2020,BUY,OBL,PeakWE,169200,16173.9,-11319.62,2330524.8,-4709791.008,4863.7,865.019264,700372.8,366432.3714,0.523196177,-2.020914349,2020_1st6_Annual_Seq3
2/1/2020,BUY,OPT,Off-peak,778485,45399.8,3244.31,10534585.4,3736533.839,3111.6,8319.059813,721891.2,463958.9272,0.642699242,0.354692064,2020_1st6_Annual_Seq3
2/1/2020,BUY,OPT,PeakWD,1643840,95554.4,4165.57,30583158.4,9808711.296,3831.1,12837.80981,1228364.8,1105575.334,0.900038273,0.32072264,2020_1st6_Annual_Seq3
2/1/2020,BUY,OPT,PeakWE,582528,57584,3001.98,8294025.6,2860345.44,4417.7,8198.612834,636264,422012.7671,0.663266768,0.344868171,2020_1st6_Annual_Seq3
2/1/2020,SELL,OBL,Off-peak,24884,770.4,57.4,187106.1,79932.038,17.5,-21.942487,4060,-1520.45028,-0.374495143,0.427201668,2020_1st6_Annual_Seq3
2/1/2020,SELL,OBL,PeakWD,32960,588.3,109.16,188256,197001.28,59.1,-20.920238,18912,15881.54464,0.839760186,1.04645419,2020_1st6_Annual_Seq3
2/1/2020,SELL,OBL,PeakWE,14112,665.9,57.51,104212.8,67817.664,44,-10.153854,7560,-821.8834416,-0.108714741,0.650761365,2020_1st6_Annual_Seq3
2/1/2020,SELL,OPT,Off-peak,113912,3173.8,1573.11,736321.6,1493696.968,828.3,760.469389,192165.6,180423.7963,0.938897473,2.028593169,2020_1st6_Annual_Seq3
2/1/2020,SELL,OPT,PeakWD,196480,3460.2,1302.1,1107264,1677990.72,906.2,635.303799,289984,337658.9018,1.164405284,1.515438703,2020_1st6_Annual_Seq3
2/1/2020,SELL,OPT,PeakWE,71136,3270.1,850.59,470894.4,495219.744,1057,571.153531,152208,132108.6009,0.867947814,1.051657747,2020_1st6_Annual_Seq3
3/1/2020,BUY,OBL,Off-peak,473793,18725.6,-11408.15,5558327.2,-8142099.243,3296.9,2022.924079,905414.3,994335.9009,1.098210953,-1.464847057,2020_1st6_Annual_Seq3
3/1/2020,BUY,OBL,PeakWD,815968,24913.9,-17126.97,10409443.2,-19305145.12,5078.2,3362.408273,2004166.4,2253530.571,1.124422888,-1.854579995,2020_1st6_Annual_Seq3
3/1/2020,BUY,OBL,PeakWE,283344,19928.5,-12949.34,3363283.2,-6326009.072,4588.5,2704.112418,748635.2,789541.2704,1.054640859,-1.880902884,2020_1st6_Annual_Seq3
3/1/2020,BUY,OPT,Off-peak,1863899,51742.4,6578.09,17186425.6,8440640.81,3956.4,15155.45535,1363318.8,1098239.742,0.805563411,0.491122529,2020_1st6_Annual_Seq3
3/1/2020,BUY,OPT,PeakWD,3536032,102220.5,6641.09,43944761.6,19727885.89,5643.6,20891.94252,3037516.8,2536294.066,0.834989313,0.448924631,2020_1st6_Annual_Seq3
3/1/2020,BUY,OPT,PeakWE,1317200,67691.1,5392.96,13328216,6185329.136,5621.8,16207.87702,1309016,880849.2107,0.67290943,0.464077798,2020_1st6_Annual_Seq3
3/1/2020,SELL,OBL,Off-peak,55528,1292.3,134.09,382534.1,179986.613,166.9,-54.130395,67840.3,38789.75591,0.57178043,0.47051129,2020_1st6_Annual_Seq3
3/1/2020,SELL,OBL,PeakWD,61952,988.8,274.5,395331.2,496600.192,269.7,197.937254,112464,281826.5924,2.505927163,1.256162408,2020_1st6_Annual_Seq3
3/1/2020,SELL,OBL,PeakWE,22432,991.1,128.35,161848,102689.728,162.9,-33.398003,30420.8,86740.3649,2.851350553,0.634482527,2020_1st6_Annual_Seq3
3/1/2020,SELL,OPT,Off-peak,247860,3229.1,3784.27,1037885.3,3952120.648,760.1,1289.222267,195068.7,257073.3688,1.317860676,3.807858776,2020_1st6_Annual_Seq3
3/1/2020,SELL,OPT,PeakWD,406592,3540.7,3674.85,1453564.8,6029717.024,915.8,1441.034748,325072,456001.0929,1.402769519,4.148227189,2020_1st6_Annual_Seq3
3/1/2020,SELL,OPT,PeakWE,164784,3778.9,3479.47,642673.6,2328956.464,1370.5,1513.102548,200628.8,234943.6754,1.171036638,3.623855817,2020_1st6_Annual_Seq3
4/1/2020,BUY,OBL,Off-peak,331328,15717.7,-10707.26,4246146.4,-6510287.336,3904.5,1529.213089,1015668,597407.0668,0.588191286,-1.533222532,2020_1st6_Annual_Seq3
4/1/2020,BUY,OBL,PeakWD,598944,23204.6,-14159.16,9715945.6,-12245436.67,5797.7,1574.681499,2686515.2,1015027.429,0.377823073,-1.260344302,2020_1st6_Annual_Seq3
4/1/2020,BUY,OBL,PeakWE,191504,19133.8,-11058.95,2984448,-3659225.216,5043.7,1124.053482,859700.8,639571.5386,0.74394666,-1.22609783,2020_1st6_Annual_Seq3
4/1/2020,BUY,OPT,Off-peak,920728,44819.2,3202.67,11468749.6,4223830.656,3011.9,9622.102656,731469.6,567384.9502,0.775678101,0.368290424,2020_1st6_Annual_Seq3
4/1/2020,BUY,OPT,PeakWD,2151872,101843.1,4567.24,37516166.4,11982292.58,3223,18089.98615,1159158.4,921551.296,0.795017571,0.319390112,2020_1st6_Annual_Seq3
4/1/2020,BUY,OPT,PeakWE,661760,60317.3,3390.09,8469585.6,2928672.736,4001,11096.56021,520214.4,348740.5826,0.670378564,0.345787017,2020_1st6_Annual_Seq3
4/1/2020,SELL,OBL,Off-peak,40184,1109.7,121.35,285557.6,171708.632,117.2,0.237717,34635.2,19897.09149,0.57447601,0.60130997,2020_1st6_Annual_Seq3
4/1/2020,SELL,OBL,PeakWD,56832,941.1,241.42,345763.2,486839.584,181.4,50.051972,71724.8,339155.5315,4.728567127,1.408014456,2020_1st6_Annual_Seq3
4/1/2020,SELL,OBL,PeakWE,16176,875.1,109.41,118454.4,106634.784,137,67.264934,17536,37812.65975,2.156287623,0.900218008,2020_1st6_Annual_Seq3
4/1/2020,SELL,OPT,Off-peak,136952,3204.3,1178.26,904549.6,1482420.24,601.2,696.234965,144288,172343.6417,1.194441961,1.638849036,2020_1st6_Annual_Seq3
4/1/2020,SELL,OPT,PeakWD,247360,3930.3,1213.75,1614700.8,2465998.624,814.1,1038.481532,287168,454572.621,1.582950123,1.52721707,2020_1st6_Annual_Seq3
4/1/2020,SELL,OPT,PeakWE,79056,3079.8,1020.48,453950.4,614055.808,1077.2,758.30722,137881.6,166754.6749,1.209404843,1.352693616,2020_1st6_Annual_Seq3
5/1/2020,BUY,OBL,Off-peak,417312,18457.1,-11012.91,5166752.8,-7699847.816,4403.8,1592.608063,1204582.4,942571.0027,0.782487776,-1.490268281,2020_1st6_Annual_Seq3
5/1/2020,BUY,OBL,PeakWD,756640,24425.9,-19357.6,8865529.6,-24169643.9,5300.5,1325.656605,1774937.6,2653849.065,1.495178797,-2.726249304,2020_1st6_Annual_Seq3
5/1/2020,BUY,OBL,PeakWE,335072,20857.5,-14105.07,4042363.2,-9419673.744,5493.1,893.836741,1022260.8,916728.4167,0.896765695,-2.330239337,2020_1st6_Annual_Seq3
5/1/2020,BUY,OPT,Off-peak,2126488,66551,6233.67,20769880,8202463.168,3519.7,17316.33667,964541.6,1026383.155,1.064114969,0.394921067,2020_1st6_Annual_Seq3
5/1/2020,BUY,OPT,PeakWD,4622720,128942.5,8189.96,50730540.8,20554772.64,3864.6,37206.39765,1414924.8,1532183.597,1.082872812,0.405175508,2020_1st6_Annual_Seq3
5/1/2020,BUY,OPT,PeakWE,1830608,84392.5,6109.81,17692312,7350904.096,4348.5,26155.05263,842712,755828.2943,0.896899883,0.415485783,2020_1st6_Annual_Seq3
5/1/2020,SELL,OBL,Off-peak,40016,983.6,54.41,271364.8,174216.304,281.7,22.594553,74973.6,82855.34153,1.105126892,0.642000377,2020_1st6_Annual_Seq3
5/1/2020,SELL,OBL,PeakWD,52256,908.3,238.81,332262.4,507860,296.3,266.229839,103404.8,519114.349,5.020215202,1.528490735,2020_1st6_Annual_Seq3
5/1/2020,SELL,OBL,PeakWE,28320,863.1,118.73,172398.4,124370.256,256.2,131.091225,51977.6,182353.2231,3.508304021,0.721411892,2020_1st6_Annual_Seq3
5/1/2020,SELL,OPT,Off-peak,184176,2917.2,2543.94,836265.6,2141791.072,750.7,1026.899338,199709.6,232513.1875,1.164256438,2.561137361,2020_1st6_Annual_Seq3
5/1/2020,SELL,OPT,PeakWD,319200,3014.2,2659.63,1119212.8,2527019.68,931.6,1379.438339,329017.6,852477.1197,2.59097726,2.257854521,2020_1st6_Annual_Seq3
5/1/2020,SELL,OPT,PeakWE,143984,3063.4,2166.65,590460.8,1196056.208,933.7,1158.801558,165944,240744.8534,1.450759614,2.025631859,2020_1st6_Annual_Seq3
6/1/2020,BUY,OBL,Off-peak,315840,18807.2,-55919.12,4513728,-18797430,4522.5,1269.118305,1085400,475358.1069,0.437956612,-4.164502159,2020_1st6_Annual_Seq3
6/1/2020,BUY,OBL,PeakWD,531520,22625.9,-14090.62,7964316.8,-8320848.448,6248.7,2156.392883,2199542.4,2977823.661,1.353837808,-1.044766131,2020_1st6_Annual_Seq3
6/1/2020,BUY,OBL,PeakWE,167424,19741.9,-11167.02,2526963.2,-3225079.936,5609.2,1187.514803,717977.6,699140.0886,0.973763093,-1.276267077,2020_1st6_Annual_Seq3
6/1/2020,BUY,OPT,Off-peak,963840,54687.1,3257.91,13124904,4487409.36,3611.3,9168.884442,866712,709373.8554,0.818465483,0.341900357,2020_1st6_Annual_Seq3
6/1/2020,BUY,OPT,PeakWD,2157056,106908.9,4744.36,37631932.8,14280062.72,4280.9,17901.77038,1506876.8,1830220.412,1.214578665,0.37946663,2020_1st6_Annual_Seq3
6/1/2020,BUY,OPT,PeakWE,644864,69210.4,3838.97,8858931.2,3625742.208,4161.1,14204.98872,532620.8,478154.4014,0.897738882,0.409275355,2020_1st6_Annual_Seq3
6/1/2020,SELL,OBL,Off-peak,36720,1101.8,70.31,264432,121557.84,191.6,-47.740583,45984,16204.79947,0.352400824,0.459694137,2020_1st6_Annual_Seq3
6/1/2020,SELL,OBL,PeakWD,62656,1103.7,211.6,388502.4,487990.976,264.8,-16.463194,93209.6,350659.926,3.762058049,1.256082269,2020_1st6_Annual_Seq3
6/1/2020,SELL,OBL,PeakWE,16256,817.2,172.45,104601.6,111297.28,298.9,116.384293,38259.2,145146.838,3.793776084,1.064011258,2020_1st6_Annual_Seq3
6/1/2020,SELL,OPT,Off-peak,120000,2503.1,2444.7,600744,1670041.92,684.7,984.440454,164328,178015.2233,1.083292094,2.779956054,2020_1st6_Annual_Seq3
6/1/2020,SELL,OPT,PeakWD,194656,2713.9,1115.1,955292.8,1272428.256,916.8,886.302063,322713.6,533760.0347,1.653974406,1.331977228,2020_1st6_Annual_Seq3
6/1/2020,SELL,OPT,PeakWE,70144,2555.1,988.53,327052.8,433394.304,831.9,818.552774,106483.2,175141.0465,1.644776326,1.325150875,2020_1st6_Annual_Seq3
